abs 2.4.4-2
libevdev 1.5.7-1
libevent 2.0.22-4
libexif 0.6.21-2
libffi 3.2.1-2
libfontenc 1.1.3-1
libgap 4.8.6-3
libgcrypt 1.7.6-1
libgiac 1.2.3.43-1
libglade 2.6.4-5
libglvnd 0.2.999+g4ba53457-2
libgpg-error 1.27-1
libgudev 231+1+g0841288-1
libgusb 0.2.9-3
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-1
libiec61883 1.2.0-4
libinput 1.7.2-1
libjpeg-turbo 1.5.1-1
libksba 1.3.4-2
libldap 2.4.44-4
libmm-glib 1.6.6-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmpc 1.0.3-2
libnftnl 1.0.7-1
libnghttp2 1.22.0-1
libnl 3.2.29-2
libnm 1.8.0-1
libnm-glib 1.8.0-1
libnotify 0.7.7-1
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libopenssl-1.0-compat 1.0.2.k-3
libpcap 1.8.1-2
libpciaccess 0.13.5-1
libpipeline 1.4.1-1
libpng 1.6.29-1
libproxy 0.4.15-1
libpsl 0.17.0-2
libpulse 10.0-3
libraw1394 2.1.2-1
librsvg 2:2.40.17-1
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5+14+g9980655-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsoup 2.58.1-1
libsoxr 0.1.2-1
libssh 0.7.5-1
libssh2 1.8.0-2
libsystemd 232-8
libtasn1 4.10-1
libtermkey 0.20-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-1
libtinfo 6-14
libtinfo-5 5-10
libtirpc 1.0.1-3
libtool 2.4.6-7
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.2-1
libusb 1.0.21-1
libutil-linux 2.29.2-2
libuv 1.11.0-1
libva 1.8.1-1
libvdpau 1.1.1-2
libvoikko 4.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvterm 0.1.git1.c4317a6-2
libwacom 0.24-1
libwbclient 4.5.10-1
libwebp 0.6.0-1
libx11 1.6.5-1
libx264 2:148.20170519-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxml2 2.9.4+16+g07418011-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.29+42+gac341cbd-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzip 1.2.0-1
licenses 20140629-2
light 0.9-1
linbox 1.4.2-8
linux 4.11.2-1
linux-api-headers 4.10.1-1
linux-firmware 20170422.ade8332-1
linux-headers 4.11.2-1
llvm-libs 4.0.0-3
lm_sensors 3.4.0-2
logrotate 3.12.2-1
lrcalc 1.2-2
lua 5.3.4-1
lua52 5.2.4-2
lvm2 2.02.171-1
lz4 1:1.7.5-1
lzo 2.10-1
m4 1.4.18-1
m4ri 20140914-1
m4rie 20150908-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.11-1
maxima-ecl 5.39.0-1
mdadm 4.0-1
mesa 17.1.0-1
metis 5.1.0.p3-1
mime-types 9-1
minizip 1:1.2.11-1
mkinitcpio 23-1
mkinitcpio-busybox 1.25.1-1
mozilla-common 1.4-4
mpfi 1.5.1-2
mpfr 3.1.5.p2-1
mpv 1:0.25.0-3
msgpack-c 2.1.1-1
mtdev 1.1.5-1
musl 1.1.16-1
nano 2.8.2-1
nauty 26r7-1
ncurses 6.0+20170429-1
ncurses5-compat-libs 6.0-3
neovim 0.2.0-2
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netctl 1.12-2
